,,,,,,,,,,,,,,,
TYPOGRAPHIES,,,,,,,,,,,,,,,
BBB Open Sans,,,,,,,,,,,,,,,
4,La/Le,Pronom personnel COD,Invariable,Laɛ,Invariable,Laeu,la.ø,Laeu,la.ø,Laeu,la.ø,Laeu,la.ø,Laeu,la.ø
,,,,,,p1_pc_bbb-herthey-futural_epsilon_ep1,,p2_sc_bbb-herthey-futural_epsilon_ep1,,p4_eb_bbb-herthey-futural_epsilon_ep1,,p5_zm_bbb-herthey-futural_epsilon_ep1,,p6_nc_bbb-herthey-futural_epsilon_ep1,
Exercice de prononciation 2,,,,,,,,,,,,,,,
1,La/Le,Pronom personnel COD,Invariable,Laɛ,Invariable,Laeu,la.ø,Laeu,la.ø,Laeu,la.ø,Laeu,la.ø,Laeu,la.ø
2,Chef/Cheffe,Substantif,ef/effe,Cheffɛ,effɛ,Chef,ʃɛf,Chef,ʃɛf,Cheffeu,ʃɛf.ø,Cheffeu,ʃɛf.ø,Cheffeu,ʃɛf.ø
3,Cuisinier/Cuisinière,Substantif,ier/ière,Cuisinierɛ,ierɛ,Cuisinière,kɥi.zi.njɛʁ,Cuisinière,kɥi.zi.njɛʁ,Cuisinièreu,kɥi.zi.njɛʁ.ø,Cuisinièreu,kɥi.zi.njɛʁ.ø,Cuisinière,kɥi.zi.njɛʁ
4,Serveur/Serveuse,Substantif,eur/euse,Serveureusɛ,eureusɛ,Serveuse,sɛʁ.vøz,Serveureuse,sɛʁ.vœ.ʁøz,Serveureuse,sɛʁ.vœ.ʁøz,Serveureuse,sɛʁ.vœ.ʁøz,Serveureuse,sɛʁ.vœ.ʁøz
5,Maitre/Maitresse,Substantif,e/esse,Maîtressɛ,essɛ,Maitresse,mɛ.tʁɛs,Maitresse,mɛ.tʁɛs,Maitresse,mɛ.tʁɛs,Maitresse,mɛ.tʁɛs,Maitresse,mɛ.tʁɛs
6,Un/Une,Article indéfini,Invariable,Unɛ,Invariable,Une,yn,Une,yn,Une,yn,Unneu,œ̃n.ø,Une,yn
7,Client/Cliente,Substantif,ent/ente,Clientɛ,entɛ,Cliente,kli.jɑ̃t,Cliente,kli.jɑ̃t,Cliente,kli.jɑ̃t,Cliente,kli.jɑ̃t,Cliente,kli.jɑ̃t
8,Accompagné/Accompagnée,Substantif,é/ée,Accompagnéɛ,éɛ,Accompagné,a.kɔ̃.pa.ɲe,Accompagné,a.kɔ̃.pa.ɲe,Accompagné,a.kɔ̃.pa.ɲe,Accompagné,a.kɔ̃.pa.ɲe,Accompagné,a.kɔ̃.pa.ɲe
9,Sa/Son,Déterminant possessif,Invariable,Saon,Invariable,Saon,sa.ɔ̃,Saon,sa.ɔ̃,Saon,sa.ɔ̃,Saon,sa.ɔ̃,Saon,sa.ɔ̃
10,Amant/Amante,Substantif,ant/ante,Amantɛ,antɛ,Amante,a.mɑ̃t,Amante,a.mɑ̃t,Amante,a.mɑ̃t,Amante,a.mɑ̃t,Amante,a.mɑ̃t
